slide,tank.slide,treat,day,uptake
h1a,1.a,host,35,0
h1b,1.b,host,35,0
h1c,1.c,host,35,0
hs2a,2.a,hostsed,26,1
hs2b,2.b,hostsed,17,1
hs2c,2.c,hostsed,10,1
s3a,3.a,sed,35,0
s3b,3.b,sed,35,0
s3c,3.c,sed,26,1
h4a,4.a,host,17,1
h4b,4.b,host,35,0
h4c,4.c,host,35,0
s5a,5.a,sed,35,0
s5b,5.b,sed,10,1
s5c,5.c,sed,26,1
hs6a,6.a,hostsed,10,1
hs6b,6.b,hostsed,1,1
hs6c,6.c,hostsed,1,1
h7a,7.a,host,35,0
h7b,7.b,host,35,0
h7c,7.c,host,35,0
c8a,8.a,control,35,0
c8b,8.b,control,35,0
c8c,8.c,control,35,0
c9a,9.a,control,35,0
c9b,9.b,control,35,0
c9c,9.c,control,35,0
s10a,10.a,sed,26,1
s10b,10.b,sed,10,1
s10c,10.c,sed,4,1
hs11a,11.a,hostsed,10,1
hs11b,11.b,hostsed,17,1
hs11c,11.c,hostsed,17,1
c12a,12.a,control,35,0
c12b,12.b,control,35,0
c12c,12.c,control,35,0
